ali,13,14,6,9,10,12,19,18,7,20
hassan,2,7,13,19,20,4,5,19,16,15
asghar,4,1,9,10,11,19,20,18,17,13
naghi,0,7,16,14,15,16,4,1,0,19
vahid,14,12,16,19,19,20,14,12,10,12
shakira,6,1,6,11,12,13,14,6,17,13
fati,9,6,13,17,16,18,20,13,3,14
hosein,12,14,15,18,20,19,17,14,20,18
shams,11,13,14,16,8,19,20,15,19,20
tahere,18,13,14,7,19,3,12,14,17,16
babak,18,18,17,16,15,13,6,13,15,18
amir,13,14,15,16,16,17,18,20,12,13
mmd,15,18,13,15,16,18,19,2,1,0
soheil,14,14,15,15,18,19,20,20,17,19
arash,16,15,4,13,15,18,19,13,13,14
kourosh,1,1,13,13,12,10,9,9,13,14
majid,13,16,18,13,12,14,16,5,2,19
vahdat,13,14,15,15,15,13,12,3,13,14
reza,1,2,14,11,13,14,15,15,12,4
ilia,20,20,20,20,20,20,20,20,20,19
mahan,13,14,15,17,19,14,16,18,17,11
sajad,14,17,18,18,13,14,16,19,20,18
sadegh,13,15,16,19,16,20,20,13,18,10
ashkan,20,2,20,20,4,11,15,16,16,7
saeid,14,16,17,17,19,13,15,19,10,17
mohsen,14,11,12,13,15,19,17,11,10,11
abol,13,11,10,7,3,9,10,9,10,14
armin,11,13,10,14,10,12,11,1,19,14
kobra,18,19,17,18,16,19,20,18,16,15
zahra,12,15,19,20,20,17,16,19,16,15
naser,11,15,18,19,18,16,15,14,11,10
akram,11,1,12,11,3,9,10,16,20,3
sana,19,19,18,18,17,16,10,14,16,5
armita,1,1,1,13,11,14,16,17,19,16
john,16,15,4,15,12,18,19,13,13,14
farhad,16,15,4,13,15,18,19,14,13,14
mona,14,17,18,18,3,18,16,19,20,18
ramin,14,17,18,18,13,14,1,19,20,18
sorush,14,17,18,18,13,14,16,19,20,8
keyvan,14,17,18,18,13,14,16,19,20,18
arezoo,18,18,17,16,15,13,6,13,15,18
mahshid,11,15,18,19,18,16,15,14,11,10
jota,11,13,14,16,8,19,20,15,16,20
mobin,1,14,17,19,3,15,19,13,11,15
saghar,4,2,3,4,7,8,9,10,11,17
kian,11,1,12,11,3,9,10,16,20,3
sara,11,13,14,16,8,17,20,1,19,20
mahak,11,13,14,16,18,19,20,15,19,2
arastoo,13,16,14,16,8,19,20,15,19,20
zeynab,4,1,9,10,11,19,20,18,17,13
pejman,16,15,4,15,12,18,19,13,13,14
akbar,16,15,14,15,12,18,19,10,13,14
nabil,16,15,4,15,12,18,19,13,11,10
shahab,16,15,14,16,12,18,19,13,10,11
tara,9,6,13,17,16,18,20,13,3,14
kosar,4,12,3,4,7,8,9,10,11,17
zoro,12,14,15,18,20,19,17,14,20,18
arshmidos,14,17,18,18,13,14,16,19,20,18
aboobakr,13,14,15,17,19,14,16,18,17,11
fahime,18,19,17,18,16,19,20,18,16,15
niayesh,14,17,18,18,13,14,1,19,20,12
sobhan,1,2,14,11,13,14,15,15,12,4
kamran,4,1,19,10,11,19,20,18,17,13
alireza,11,1,1,13,11,14,16,17,19,16
javid,6,1,16,11,12,13,14,6,17,13
jamshid,13,14,6,9,10,12,19,18,7,20
nahid,4,1,9,10,11,19,20,18,17,13
nafas,16,15,4,13,15,18,19,13,13,10
sorena,14,17,18,18,13,14,16,19,20,18
lara,18,13,14,7,19,13,12,14,17,16
cris,19,18,17,19,19,20,16,19,19,18
leo,12,16,17,16,18,18,14,15,1,11
erling,13,14,15,17,19,14,16,18,17,11
markoos,18,19,17,18,16,19,20,18,16,15
samira,19,18,17,19,19,20,16,19,16,18
shakoor,12,16,17,16,18,18,14,15,16,11
mostafa,11,15,18,19,18,16,15,14,11,10
janatan,13,14,15,15,15,13,12,3,13,14
hamid,19,14,15,16,16,13,16,17,18,12
zaker,13,14,15,17,19,14,16,18,17,11
ajdar,13,1,15,15,7,13,12,3,13,11
soleyman,11,1,12,11,3,9,10,16,20,3
erfan,4,12,3,4,7,8,9,10,11,17
teylor,4,2,13,4,7,8,9,10,11,17
sanaz,14,2,3,14,7,8,9,10,11,17
sahand,14,12,3,4,7,18,19,10,11,17
sam,13,14,15,17,19,14,16,18,17,13
samyar,11,15,18,19,18,16,15,14,11,11
zakaria,4,12,13,14,7,8,9,10,11,16
rohan,18,19,17,18,16,19,20,18,17,15
shahin,14,12,13,14,17,18,19,10,11,17
borono,14,17,18,18,13,14,16,19,20,18
kevin,1,14,17,18,13,15,19,12,11,15
azita,11,14,17,19,3,15,19,13,11,15
lana,12,14,18,19,18,16,15,14,11,13
kazem,14,17,18,18,13,14,16,19,20,18
karim,10,7,16,14,15,16,4,1,0,19
engolo,2,7,13,19,20,4,5,19,16,14
kilyan,10,17,16,14,15,16,4,1,10,19
